"Date","Account","Category","Tags","Expense amount","Income amount","Currency","In main currency","Main currency","Description"
"Jun 7, 2013",现金,Unsorted,CE-Mac,588.00,0,CNY,588.00,CNY,电源线
"Jun 8, 2013",现金,Unsorted,CE-Mac,348.00,0,CNY,348.00,CNY,键盘
"Jun 9, 2013",现金,Unsorted,CE-Mac,488.00,0,CNY,488.00,CNY,触摸板
"Aug 30, 2013",现金,salary,salary,0,"14,014.02",CNY,"14,014.02",CNY,
"Aug 30, 2013",现金,RSU,RSU,0,"42,732.17",CNY,"42,732.17",CNY,
"Sep 2, 2013",现金,Unsorted,CE-Mac,40.80,0,CNY,40.80,CNY,视频转换头
"Sep 12, 2013",现金,Unsorted,"131012_SH, art-show",580.00,0,CNY,580.00,CNY,ticket 2
"Sep 23, 2013",现金,Unsorted,init,"2,582.13",0,CNY,"2,582.13",CNY,初始，负2582.13
"Sep 24, 2013",现金,Unsorted,vehicle-road,4.00,0,CNY,4.00,CNY,
"Sep 24, 2013",现金,Unsorted,comm.-internet,61.00,0,CNY,61.00,CNY,iTunes
"Sep 24, 2013",现金,default,meal,19.50,0,CNY,19.50,CNY,
"Sep 25, 2013",现金,Unsorted,comm.-internet,148.88,0,CNY,148.88,CNY,iTunes
"Sep 26, 2013",现金,Unsorted,vehicle-road,4.00,0,CNY,4.00,CNY,
"Sep 26, 2013",现金,Unsorted,comm.-telephone,200.00,0,CNY,200.00,CNY,telephone charge
"Sep 26, 2013",现金,Unsorted,comm.-postal,9.00,0,CNY,9.00,CNY,postal
"Sep 26, 2013",现金,Unsorted,snack,78.80,0,CNY,78.80,CNY,
"Sep 26, 2013",现金,default,meal,21.00,0,CNY,21.00,CNY,
"Sep 27, 2013",现金,Unsorted,vehicle-road,4.00,0,CNY,4.00,CNY,
"Sep 27, 2013",现金,Unsorted,house-commodity,53.87,0,CNY,53.87,CNY,culinary gadgets
"Sep 27, 2013",现金,Unsorted,snack,5.30,0,CNY,5.30,CNY,
"Sep 27, 2013",现金,default,meal,23.00,0,CNY,23.00,CNY,
"Sep 28, 2013",现金,Unsorted,dress-decro,15.00,0,CNY,15.00,CNY,修理
"Sep 28, 2013",现金,Unsorted,vehicle-road,4.00,0,CNY,4.00,CNY,
"Sep 28, 2013",现金,Unsorted,dress-hair,16.00,0,CNY,16.00,CNY,haircut
"Sep 28, 2013",现金,Unsorted,snack,60.00,0,CNY,60.00,CNY,
"Sep 28, 2013",现金,default,meal,67.00,0,CNY,67.00,CNY,
"Sep 29, 2013",现金,Unsorted,vehicle-road,4.00,0,CNY,4.00,CNY,
"Sep 29, 2013",现金,Unsorted,snack,4.50,0,CNY,4.50,CNY,
"Sep 29, 2013",现金,default,meal,25.00,0,CNY,25.00,CNY,
"Sep 29, 2013",现金,Unsorted,vehicle-oil,100.00,0,CNY,100.00,CNY,
"Sep 29, 2013",现金,Unsorted,dress-glass,30.00,0,CNY,30.00,CNY,隐形眼镜水
"Sep 29, 2013",现金,Unsorted,CE-camera,40.00,0,CNY,40.00,CNY,镜头后盖
"Sep 29, 2013",现金,default,meal,13.00,0,CNY,13.00,CNY,
"Sep 30, 2013",现金,salary,salary,0,"14,000.00",CNY,"14,000.00",CNY,
"Sep 30, 2013",现金,Unsorted,"traffic-commute, 1310_Philippines",100.00,0,HKD,78.97,CNY,香港机场地铁
"Sep 30, 2013",现金,Unsorted,vehicle-road,40.00,0,CNY,40.00,CNY,
"Sep 30, 2013",现金,Unsorted,"traffic-flight, 1310_Philippines",898.00,0,CNY,898.00,CNY,港菲机票
"Sep 30, 2013",现金,Unsorted,"traffic-flight, 1310_Philippines","1,994.00",0,CNY,"1,994.00",CNY,杭港机票
"Sep 30, 2013",现金,default,"1310_Philippines, meal",176.00,0,CNY,176.00,CNY,
"Sep 30, 2013",现金,Unsorted,"snack, 1310_Philippines",56.00,0,HKD,44.22,CNY,
"Sep 30, 2013",现金,default,"1310_Philippines, meal",82.00,0,HKD,64.76,CNY,
"Oct 1, 2013",现金,Unsorted,"1310_Philippines, entertain","4,800.00",0,CNY,"4,800.00",CNY,潜水ow
"Oct 3, 2013",现金,Unsorted,"snack, 1310_Philippines",330.00,0,PHP,46.62,CNY,snack
"Oct 6, 2013",现金,Unsorted,"entertain, 1310_Philippines","3,703.06",0,CNY,"3,703.06",CNY,潜水差价 酒店消费
"Oct 6, 2013",现金,Unsorted,"snack, 1310_Philippines",402.85,0,PHP,56.91,CNY,
"Oct 6, 2013",现金,Unsorted,"house-commodity, 1310_Philippines",400.00,0,PHP,56.51,CNY,
"Oct 6, 2013",现金,Unsorted,"1310_Philippines, snack",350.00,0,PHP,49.45,CNY,snack
"Oct 7, 2013",现金,Unsorted,"hotel, 1310_Philippines",186.00,0,CNY,186.00,CNY,胖子垫付差价
"Oct 7, 2013",现金,Unsorted,"hotel, 1310_Philippines",127.00,0,CNY,127.00,CNY,香港住宿
"Oct 7, 2013",现金,Unsorted,"1310_Philippines, traffic-commute",276.00,0,CNY,276.00,CNY,taxi
"Oct 7, 2013",现金,Unsorted,"vehicle-road, 1310_Philippines",530.00,0,CNY,530.00,CNY,
"Oct 7, 2013",现金,default,"1310_Philippines, meal",100.00,0,CNY,100.00,CNY,
"Oct 7, 2013",现金,Unsorted,"snack, 1310_Philippines",800.00,0,PHP,113.02,CNY,
"Oct 7, 2013",现金,Unsorted,people,"2,305.23",0,CNY,"2,305.23",CNY,gift
"Oct 7, 2013",现金,Unsorted,dress-glass,"2,760.00",0,HKD,"2,179.58",CNY,
"Oct 8, 2013",现金,default,meal,35.00,0,CNY,35.00,CNY,
"Oct 8, 2013",现金,Unsorted,vehicle-oil,400.00,0,CNY,400.00,CNY,
"Oct 9, 2013",现金,Unsorted,"131012_SH, traffic-train",146.00,0,CNY,146.00,CNY,上海火车
"Oct 9, 2013",现金,default,meal,13.40,0,CNY,13.40,CNY,
"Oct 9, 2013",现金,default,meal,17.00,0,CNY,17.00,CNY,
"Oct 9, 2013",现金,Unsorted,"131012_SH, hotel",200.00,0,CNY,200.00,CNY,hotel
"Oct 10, 2013",现金,Unsorted,vehicle-road,4.00,0,CNY,4.00,CNY,
"Oct 10, 2013",现金,default,meal,10.90,0,CNY,10.90,CNY,
"Oct 10, 2013",现金,default,meal,12.00,0,CNY,12.00,CNY,
"Oct 11, 2013",现金,Unsorted,house-operating,110.50,0,CNY,110.50,CNY,3个月电
"Oct 11, 2013",现金,default,meal,10.00,0,CNY,10.00,CNY,
"Oct 11, 2013",现金,Unsorted,snack,14.10,0,CNY,14.10,CNY,
"Oct 11, 2013",现金,default,meal,2.00,0,CNY,2.00,CNY,
"Oct 12, 2013",现金,Unsorted,"131012_SH, traffic-commute",145.00,0,CNY,145.00,CNY,taxi
"Oct 12, 2013",现金,Unsorted,vehicle-road,4.00,0,CNY,4.00,CNY,
"Oct 12, 2013",现金,Unsorted,"131012_SH, traffic-commute",4.00,0,CNY,4.00,CNY,地铁
"Oct 12, 2013",现金,default,"meal, 131012_SH",75.00,0,CNY,75.00,CNY,meal
"Oct 12, 2013",现金,default,meal,16.00,0,CNY,16.00,CNY,
"Oct 12, 2013",现金,Unsorted,"snack, 131012_SH",26.50,0,CNY,26.50,CNY,
"Oct 12, 2013",现金,Unsorted,"art-show, 131012_SH",580.00,0,CNY,580.00,CNY,ticket
"Oct 12, 2013",现金,default,"131012_SH, meal",355.00,0,CNY,355.00,CNY,meal
"Oct 13, 2013",现金,Unsorted,"traffic-commute, 131012_SH",36.00,0,CNY,36.00,CNY,taxi
"Oct 13, 2013",现金,Unsorted,"traffic-commute, 131012_SH",80.00,0,CNY,80.00,CNY,taxi
"Oct 13, 2013",现金,Unsorted,"131012_SH, vehicle-road",60.00,0,CNY,60.00,CNY,parking
"Oct 13, 2013",现金,Unsorted,"snack, 131012_SH",25.00,0,CNY,25.00,CNY,
"Oct 13, 2013",现金,default,"meal, 131012_SH",430.00,0,CNY,430.00,CNY,
"Oct 14, 2013",现金,Unsorted,dress-bag,499.00,0,CNY,499.00,CNY,
"Oct 14, 2013",现金,Unsorted,house-commodity,36.30,0,CNY,36.30,CNY,洗发水
"Oct 14, 2013",现金,Unsorted,dress,278.00,0,CNY,278.00,CNY,Zara TShirt
